Frequency (Hz)	   TP6/Control (g/g)
1.892578100e+02	   1.187087800e+00
1.898437500e+02	   1.171613600e+00
1.904296900e+02	   1.133681700e+00
1.910156300e+02	   1.085028300e+00
1.916015600e+02	   1.069472900e+00
1.921875000e+02	   1.063674100e+00
1.927734400e+02	   1.074270400e+00
1.933593800e+02	   1.112805200e+00
1.939453100e+02	   1.179375600e+00
1.945312500e+02	   1.208580300e+00
1.951171900e+02	   1.255565800e+00
1.957031300e+02	   1.279850400e+00
1.962890600e+02	   1.296414100e+00
1.968750000e+02	   1.304187200e+00
1.974609400e+02	   1.310601000e+00
1.980468800e+02	   1.306262500e+00
1.986328100e+02	   1.304661500e+00
1.992187500e+02	   1.303215400e+00
1.998046900e+02	   1.305987400e+00
2.003906300e+02	   1.305141300e+00
2.009765600e+02	   1.301144500e+00
2.015625000e+02	   1.297987000e+00
2.021484400e+02	   1.305333900e+00
2.027343800e+02	   1.312146500e+00
2.033203100e+02	   1.304618400e+00
2.039062500e+02	   1.304252500e+00
2.044921900e+02	   1.307250600e+00
2.050781300e+02	   1.308640200e+00
2.056640600e+02	   1.319205500e+00
2.062500000e+02	   1.315555000e+00
2.068359400e+02	   1.312340100e+00
2.074218800e+02	   1.324253800e+00
2.080078100e+02	   1.331662100e+00
2.085937500e+02	   1.329170900e+00
2.091796900e+02	   1.327619600e+00
2.097656300e+02	   1.328362000e+00
2.103515600e+02	   1.334505200e+00
2.109375000e+02	   1.334826800e+00
2.115234400e+02	   1.336926000e+00
2.121093800e+02	   1.349935200e+00
2.126953100e+02	   1.351530100e+00
2.132812500e+02	   1.348515500e+00
2.138671900e+02	   1.354417300e+00
2.144531300e+02	   1.368280600e+00
2.150390600e+02	   1.368838000e+00
2.156250000e+02	   1.370472200e+00
2.162109400e+02	   1.374668100e+00
2.167968800e+02	   1.372839100e+00
2.173828100e+02	   1.375819000e+00
2.179687500e+02	   1.376009000e+00
2.185546900e+02	   1.384009000e+00
2.191406300e+02	   1.384136000e+00
2.197265600e+02	   1.386633900e+00
2.203125000e+02	   1.396791600e+00
2.208984400e+02	   1.404068100e+00
2.214843800e+02	   1.402632500e+00
2.220703100e+02	   1.408045300e+00
2.226562500e+02	   1.415507400e+00
2.232421900e+02	   1.432192600e+00
2.238281300e+02	   1.432982400e+00
2.244140600e+02	   1.435023500e+00
2.250000000e+02	   1.433309400e+00
2.255859400e+02	   1.448288100e+00
2.261718800e+02	   1.453110300e+00
2.267578100e+02	   1.462924500e+00
2.273437500e+02	   1.467181200e+00
2.279296900e+02	   1.463770600e+00
2.285156300e+02	   1.471683400e+00
2.291015600e+02	   1.489436300e+00
2.296875000e+02	   1.497290400e+00
2.302734400e+02	   1.493310200e+00
2.308593800e+02	   1.489765200e+00
2.314453100e+02	   1.499503700e+00
2.320312500e+02	   1.507828600e+00
2.326171900e+02	   1.521042300e+00
2.332031300e+02	   1.527735900e+00
2.337890600e+02	   1.533503300e+00
2.343750000e+02	   1.542361900e+00
2.349609400e+02	   1.544906300e+00
2.355468800e+02	   1.537835500e+00
2.361328100e+02	   1.573458300e+00
2.367187500e+02	   1.573112200e+00
2.373046900e+02	   1.572837500e+00
2.378906300e+02	   1.583954300e+00
2.384765600e+02	   1.591712600e+00
2.390625000e+02	   1.595662600e+00
2.396484400e+02	   1.605989800e+00
2.402343800e+02	   1.615226100e+00
2.408203100e+02	   1.626772800e+00
2.414062500e+02	   1.634252800e+00
2.419921900e+02	   1.640155700e+00
2.425781300e+02	   1.661724100e+00
2.431640600e+02	   1.667042100e+00
2.437500000e+02	   1.679492000e+00
2.443359400e+02	   1.696869700e+00
2.449218800e+02	   1.709725100e+00
2.455078100e+02	   1.718008300e+00
2.460937500e+02	   1.724136500e+00
2.466796900e+02	   1.724304700e+00
2.472656300e+02	   1.742782800e+00
2.478515600e+02	   1.757630500e+00
2.484375000e+02	   1.779242400e+00
2.490234400e+02	   1.787603600e+00
2.496093800e+02	   1.789679900e+00
2.501953100e+02	   1.797136500e+00
2.507812500e+02	   1.825381000e+00
2.513671900e+02	   1.860792000e+00
2.519531300e+02	   1.870089900e+00
2.525390600e+02	   1.866068500e+00
2.531250000e+02	   1.885452600e+00
2.537109400e+02	   1.922597100e+00
2.542968800e+02	   1.932799500e+00
2.548828100e+02	   1.966369500e+00
2.554687500e+02	   1.956802500e+00
2.560546900e+02	   1.964164500e+00
2.566406300e+02	   2.004023600e+00
2.572265600e+02	   2.025979800e+00
2.578125000e+02	   2.031709400e+00
2.583984400e+02	   2.090084600e+00
2.589843800e+02	   2.087609300e+00
2.595703100e+02	   2.106671800e+00
2.601562500e+02	   2.165798900e+00
2.607421900e+02	   2.213180800e+00
2.613281300e+02	   2.212423600e+00
2.619140600e+02	   2.236327400e+00
2.625000000e+02	   2.275341700e+00
2.630859400e+02	   2.334846300e+00
2.636718800e+02	   2.356480600e+00
2.642578100e+02	   2.392187800e+00
2.648437500e+02	   2.448617200e+00
2.654296900e+02	   2.516683300e+00
2.660156300e+02	   2.549109000e+00
2.666015600e+02	   2.590618400e+00
2.671875000e+02	   2.615363100e+00
2.677734400e+02	   2.706425400e+00
2.683593800e+02	   2.736026300e+00
2.689453100e+02	   2.767591200e+00
2.695312500e+02	   2.859194000e+00
2.701171900e+02	   2.918203400e+00
2.707031300e+02	   2.995004700e+00
2.712890600e+02	   3.052789700e+00
2.718750000e+02	   3.092401500e+00
2.724609400e+02	   3.120094100e+00
2.730468800e+02	   3.199494600e+00
2.736328100e+02	   3.264204000e+00
2.742187500e+02	   3.312834000e+00
2.748046900e+02	   3.378823000e+00
2.753906300e+02	   3.446942600e+00
2.759765600e+02	   3.606679700e+00
2.765625000e+02	   3.681535000e+00
2.771484400e+02	   3.731709200e+00
2.777343800e+02	   3.858471400e+00
