Time (s)		Acceleration (g)	
8.218750e-002	-3.759982e+001			
8.234375e-002	-9.286226e+000			
8.250000e-002	-3.354713e+000			
8.265625e-002	2.894339e+001			
8.281250e-002	1.779226e+001			
8.296875e-002	2.128284e+001			
8.312500e-002	1.151794e+001			
8.328125e-002	5.570463e+000			
8.343750e-002	-1.772000e+000			
8.359375e-002	3.440054e-001			
8.375000e-002	-5.653404e+000			
8.390625e-002	-1.119998e+001			
8.406250e-002	6.826095e-001			
8.421875e-002	-1.991174e+000			
8.437500e-002	5.583427e+000			
8.453125e-002	-1.831139e+001			
8.468750e-002	-1.428103e+001			
8.484375e-002	-2.090463e+001			
8.500000e-002	-8.430413e+000			
8.515625e-002	-1.126492e+001			
8.531250e-002	1.717026e+001			
8.546875e-002	2.451393e+001			
8.562500e-002	2.590039e+001			
8.578125e-002	2.170811e+001			
8.593750e-002	1.307437e+001			
8.609375e-002	1.657516e+001			
8.625000e-002	1.909326e+001			
8.640625e-002	-5.569143e+000			
8.656250e-002	-2.017761e+001			
8.671875e-002	-2.417964e+001			
8.687500e-002	-1.580805e+001			
8.703125e-002	-7.125449e+000			
8.718750e-002	3.222080e+000			
8.734375e-002	1.335056e+001			
8.750000e-002	4.325574e+001			
8.765625e-002	4.322441e+001			
8.781250e-002	2.084834e+001			
8.796875e-002	1.031776e+001			
8.812500e-002	1.303596e+001			
8.828125e-002	1.178489e+001			
8.843750e-002	3.135659e+000			
8.859375e-002	-7.069756e+000			
8.875000e-002	-1.568465e+001			
8.890625e-002	-4.017277e+000			
8.906250e-002	-2.006310e+001			
8.921875e-002	-5.394260e+000			
8.937500e-002	-2.891158e+000			
8.953125e-002	4.449505e-001			
8.968750e-002	-3.311622e-001			
8.984375e-002	-4.919902e+000			
9.000000e-002	-6.930881e+000			
9.015625e-002	2.024063e+000			
9.031250e-002	6.938563e+000			
9.046875e-002	1.483688e+000			
9.062500e-002	1.944363e+000			
9.078125e-002	-2.909042e+000			
9.093750e-002	-2.549073e+000			
9.109375e-002	-1.388649e+001			
9.125000e-002	-2.584770e+001			
